Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/02 08:00:00.000;0;CAC 40;BUY;Market;1;4012.7042391300365;0.0;Filled;1999/03/02 08:00:00.000;buy at open;-1;
1999/03/02 08:00:00.000;1;CAC 40;SELL;Stop;1;4000.3224067456563;4000.3224067456563;Filled;1999/03/02 16:29:59.999;security stop;-1;
1999/03/02 08:00:00.000;2;CAC 40;SELL;Limit;1;0.0;4012.7042391300365;Cancelled;1999/03/02 16:29:59.999;limit gain;-1;
1999/03/03 08:00:00.000;3;CAC 40;BUY;Market;1;4025.5813448097924;0.0;Filled;1999/03/03 08:00:00.000;buy at open;-1;
1999/03/03 08:00:00.000;4;CAC 40;SELL;Stop;1;0.0;3956.2430834572615;Cancelled;1999/03/03 16:29:59.999;security stop;-1;
1999/03/03 08:00:00.000;5;CAC 40;SELL;Limit;1;4025.5813448097924;4025.5813448097924;Filled;1999/03/03 16:29:59.999;limit gain;-1;
1999/03/04 08:00:00.000;6;CAC 40;BUY;Market;1;3972.0918289092688;0.0;Filled;1999/03/04 08:00:00.000;buy at open;-1;
1999/03/04 08:00:00.000;7;CAC 40;SELL;Stop;1;3972.0918289092688;3993.8838539057783;Filled;1999/03/04 08:00:00.000;security stop;-1;
1999/03/04 08:00:00.000;8;CAC 40;SELL;Limit;1;0.0;3972.0918289092688;Cancelled;1999/03/04 08:00:00.000;limit gain;-1;
1999/03/05 08:00:00.000;9;CAC 40;BUY;Market;1;4093.4337862761977;0.0;Filled;1999/03/05 08:00:00.000;buy at open;-1;
1999/03/05 08:00:00.000;10;CAC 40;SELL;Stop;1;0.0;3966.6438226601413;Cancelled;1999/03/05 08:00:00.000;security stop;-1;
1999/03/05 08:00:00.000;11;CAC 40;SELL;Limit;1;4093.4337862761977;4045.392276624801;Filled;1999/03/05 08:00:00.000;limit gain;-1;
1999/03/08 08:00:00.000;12;CAC 40;BUY;Market;1;4200.412818077245;0.0;Filled;1999/03/08 08:00:00.000;buy at open;-1;
1999/03/08 08:00:00.000;13;CAC 40;SELL;Stop;1;0.0;4081.051953891817;Cancelled;1999/03/08 08:00:00.000;security stop;-1;
1999/03/08 08:00:00.000;14;CAC 40;SELL;Limit;1;4200.412818077245;4185.554619215989;Filled;1999/03/08 08:00:00.000;limit gain;-1;
1999/03/09 08:00:00.000;15;CAC 40;BUY;Market;1;4173.172786831608;0.0;Filled;1999/03/09 08:00:00.000;buy at open;-1;
1999/03/09 08:00:00.000;16;CAC 40;SELL;Stop;1;4113.244718091207;4113.244718091207;Filled;1999/03/09 16:29:59.999;security stop;-1;
1999/03/09 08:00:00.000;17;CAC 40;SELL;Limit;1;0.0;4173.172786831608;Cancelled;1999/03/09 16:29:59.999;limit gain;-1;
1999/03/10 08:00:00.000;18;CAC 40;BUY;Market;1;4168.220053877856;0.0;Filled;1999/03/10 08:00:00.000;buy at open;-1;
1999/03/10 08:00:00.000;19;CAC 40;SELL;Stop;1;0.0;4097.3959726391995;Cancelled;1999/03/10 16:29:59.999;security stop;-1;
1999/03/10 08:00:00.000;20;CAC 40;SELL;Limit;1;4168.220053877856;4168.220053877856;Filled;1999/03/10 16:29:59.999;limit gain;-1;
1999/03/11 08:00:00.000;21;CAC 40;BUY;Market;1;4150.390215244348;0.0;Filled;1999/03/11 08:00:00.000;buy at open;-1;
1999/03/11 08:00:00.000;22;CAC 40;SELL;Stop;1;0.0;4120.673817521835;Cancelled;1999/03/11 16:29:59.999;security stop;-1;
1999/03/11 08:00:00.000;23;CAC 40;SELL;Limit;1;4150.390215244348;4150.390215244348;Filled;1999/03/11 16:29:59.999;limit gain;-1;
1999/03/12 08:00:00.000;24;CAC 40;BUY;Market;1;4220.223749892254;0.0;Filled;1999/03/12 08:00:00.000;buy at open;-1;
1999/03/12 08:00:00.000;25;CAC 40;SELL;Stop;1;0.0;4131.569830020089;Cancelled;1999/03/12 08:00:00.000;security stop;-1;
1999/03/12 08:00:00.000;26;CAC 40;SELL;Limit;1;4220.223749892254;4184.068799329863;Filled;1999/03/12 08:00:00.000;limit gain;-1;
1999/03/15 08:00:00.000;27;CAC 40;BUY;Market;1;4170.201147059357;0.0;Filled;1999/03/15 08:00:00.000;buy at open;-1;
1999/03/15 08:00:00.000;28;CAC 40;SELL;Stop;1;0.0;4124.636003884836;Cancelled;1999/03/15 16:29:59.999;security stop;-1;
1999/03/15 08:00:00.000;29;CAC 40;SELL;Limit;1;4170.201147059357;4170.201147059357;Filled;1999/03/15 16:29:59.999;limit gain;-1;
1999/03/16 08:00:00.000;30;CAC 40;BUY;Market;1;4165.248414105605;0.0;Filled;1999/03/16 08:00:00.000;buy at open;-1;
1999/03/16 08:00:00.000;31;CAC 40;SELL;Stop;1;0.0;4130.084010133964;Cancelled;1999/03/16 16:29:59.999;security stop;-1;
1999/03/16 08:00:00.000;32;CAC 40;SELL;Limit;1;4165.248414105605;4165.248414105605;Filled;1999/03/16 16:29:59.999;limit gain;-1;
